Designator,Mid X,Mid Y,Layer,Rotation 
BH1,148.501100,-83.921600,Top,180.000000
C1,155.740100,-94.716600,Top,180.000000
C2,178.600100,-76.428600,Top,180.000000
C3,155.232100,-107.924600,Top,0.000000
C4,163.995100,-109.321600,Top,0.000000
C5,179.870100,-83.413600,Top,270.000000
R1,179.870100,-79.857600,Top,270.000000
R2,181.775100,-79.857600,Top,270.000000
R3,181.775100,-76.428600,Top,270.000000
R4,126.657100,-123.164600,Top,0.000000
R5,137.579100,-123.164600,Top,0.000000
R6,148.501100,-123.164600,Top,0.000000
R7,159.423100,-123.164600,Top,0.000000
R8,170.345100,-123.164600,Top,0.000000
R9,162.852100,-97.891600,Top,90.000000
R10,156.375100,-111.861600,Top,90.000000
R11,158.153100,-111.861600,Top,90.000000
R12,159.931100,-111.861600,Top,90.000000
R13,161.709100,-111.861600,Top,90.000000
R14,161.201100,-106.527600,Top,90.000000
R15,162.725100,-106.527600,Top,90.000000
R16,161.582100,-95.351600,Top,180.000000
R17,152.057100,-95.605600,Top,180.000000
R18,154.089100,-109.575600,Top,0.000000
U1,154.978100,-101.701600,Top,270.000000
